Woord,Translation,Frequentie
vertrouwen,trust,19
actuele,current,19
houding,attitude,19
gestructureerd,structured,19
jaren,years,19
ambities,ambitions,19
eerst,first,19
communiceert,communicates,19
services,services,19
operationeel,operational,19
programma,programme,19
rijden,to drive,19
integratie,integration,18
individueel,individual,18
bekijk,view/check,18
regelmatig,regularly,18
brengt,brings,18
weg,way/road,18
jaarlijks,annually,18
enkele,some/a few,18
functieomschrijving,job description,18
stad,city,18
rekenen,to count/calculate,18
bereid,willing,18
cursussen,courses,18
engelse,English,18
vrije,free,18
minder,less,18
financieel,financial,18
best,best,18
ondersteun,support,18
onderzoek,research,18
automotive,automotive,18
vestigingen,branches/offices,18
automation,automation,18
verzorgt,provides,17
bewaakt,monitors,17
teamleider,team leader,17
terug,back,17
mobiele,mobile,17
onderdelen,components/parts,17
vakmanschap,craftsmanship,17
hoogwaardige,high-quality,17
prettige,pleasant,17
haag,Hague,17
performance,performance,17
jullie,you (plural),17
krijgen,to receive,17
achter,behind,17
vraagt,asks/requires,17
geschrift,writing,17
selectieprocedure,selection procedure,17
kennen,to know,17
doorgroeimogelijkheden,growth opportunities,17
kpi,KPI,17
soms,sometimes,17
aansturen,to manage/direct,17
nieuwsgierig,curious,17
oplossen,to solve,17
com,.com,17
bereikbaar,reachable,17
inwoners,residents,17
vooral,especially,17
pre,advantage,17
ambitie,ambition,17
bewegen,to move,17
commando,command,17
militaire,military,17
militair,military,17
boskalis,Boskalis,17
woo,WOO (freedom of information),17
gebaseerd,based,16
probleem,problem,16
passend,suitable,16
rekening,account/consideration,16
vrijdag,Friday,16
afwisselende,varied,16
ontvangen,to receive,16
zelfstandige,independent/freelance,16
combineren,to combine,16
volgen,to follow,16
ten,at/in,16
professional,professional,16
groep,group,16
kiezen,to choose,16
gratis,free/no cost,16
visie,vision,16
specialisten,specialists,16
eigenaarschap,ownership,16
reizen,to travel,16
klas,class,16
collectieve,collective,16
trots,proud,16
toekomstbestendige,future-proof,16
standplaats,duty station,16
klantcontact,customer contact,16
vervoer,transport,16
drie,three,16
afwisseling,variety,16
fijne,fine/nice,16
plaats,place,16
betrouwbaar,reliable,16
inzetten,to deploy/use,16
hierin,herein,16
net,just/network,16
speelt,plays,16
aanleiding,reason/occasion,16
technieken,techniques,16
strategisch,strategic,16
land,country,16
omgevingen,environments,16
junior,junior,16
renewi,Renewi,16
juridisch,legal,15
leiden,to lead,15
instelling,institution,15
keuzebudget,choice budget,15
welzijn,wellbeing,15
sturen,to send/steer,15
achtergrond,background,15
analist,analyst,15
samenwerkt,collaborates,15
recht,right/law,15
houd,keep/hold,15
hét,the,15
fijn,fine/nice,15
missie,mission,15
laat,late/let,15
zaken,matters/business,15
kort,short,15
anderen,others,15
succesvol,successful,15
opnemen,to include/contact,15
jaarcontract,annual contract,15
maatschappelijk,social/societal,15
indien,if,15
onbeperkt,unlimited,15
moment,moment,15
opleidingsbudget,training budget,15
belangrijkste,most important,15
gewerkt,worked,15
intern,internal,15
succes,success,15
gezellige,cosy/pleasant,15
begrijpt,understands,15
afwisselend,varied,15
urige,hour-long,15
proactieve,proactive,15
directe,direct,15
halen,to achieve/fetch,15
productie,production,15
zekerheid,certainty/security,15
partner,partner,15
dankzij,thanks to,15
coaching,coaching,15
landen,countries,15
slimme,smart,15
luchtmacht,air force,15
opzetten,to set up,15
rijk,rich/kingdom,15
chauffeurs,drivers,15
midden,middle,14
gespecialiseerd,specialised,14
voortgang,progress,14
lessen,lessons,14
enthousiaste,enthusiastic,14
pensioenopbouw,pension accrual,14
lezen,to read,14
speel,play,14
stelt,sets/places,14
ruime,ample,14
voorop,at the forefront,14
nationale,national,14
reizigers,travellers,14
zonder,without,14
whatsapp,WhatsApp,14
training,training,14
balans,balance,14
vog,certificate of good conduct,14
leaseauto,lease car,14
doel,goal,14
abp,ABP (pension fund),14
meest,most,14
conform,in accordance with,14
weekend,weekend,14
behandeling,treatment,14
loopt,runs/walks,14
gewoon,just/ordinary,14
skills,skills,14
leergierig,eager to learn,14
sociale,social,14
directie,management/board,14
verbetering,improvement,14
leiding,leadership,14
operatie,operation,14
helder,clear,14
sta,stand,14
groeit,grows,14
brede,broad,14
adviseur,advisor,14
overige,other,14
daarmee,with that,14
allround,all-round,14
herken,recognise,14
technologieën,technologies,14
academy,academy,14
duurzaamheid,sustainability,14
bonusregeling,bonus scheme,14
scrum,Scrum,14
ibbad,IBBAD (pay scale),14
marechaussee,military police,14
development,development,14
datagedreven,data-driven,14
group,group,14
design,design,14
crm,CRM,14
bosch,Bosch,14
zwaan,swan,14
bestuursrecht,administrative law,13
groen,green,13
beheerst,masters/controls,13
specifieke,specific,13
certificaten,certificates,13
bel,call,13
app,app,13
betaalde,paid,13
begeleidt,guides,13
sociaal,social,13
thuiswerkvergoeding,home working allowance,13
inhoudelijke,substantive,13
gewaardeerd,appreciated,13
voldoen,to meet/comply,13
stabiele,stable,13
work,work,13
druk,busy/pressure,13
klik,click,13
netjes,neatly,13
stage,internship,13
assessment,assessment,13
welkom,welcome,13
gemakkelijk,easy,13
veelzijdige,versatile,13
care,care,13
kracht,strength/power,13
sluit,closes/fits,13
afstemmen,to align,13
opbouwen,to build up,13
uiteraard,of course,13
aantrekkelijke,attractive,13
unieke,unique,13
plus,plus,13
retail,retail,13
voorwaarden,conditions,13
gerelateerde,related,13
besluitvorming,decision-making,13
benieuwd,curious,13
effectief,effective,13
kopen,to buy,13
zin,sense/feel like,13
draaien,to run/turn,13
gevraagde,requested,13
nieuwste,newest,13
scholen,schools,13
resultaat,result,13
afspraken,agreements,13
documentatie,documentation,13
toepassing,application,13
strategie,strategy,13
robuuste,robust,13
omzet,turnover/revenue,13
deels,partly,13
operations,operations,13
thuiswerken,working from home,13
landelijk,national,13
verdere,further,13
schaalbare,scalable,13
overheid,government,13
landmacht,army,13
beheert,manages,13
liften,elevators/lifts,13
verzorgen,to provide/care for,12
leeftijd,age,12
functioneren,to function,12
belangen,interests,12
tegelijk,simultaneously,12
slimmer,smarter,12
materialen,materials,12
hoofdkantoor,headquarters,12
bestellingen,orders,12
efficiënt,efficient,12
stuurt,sends/steers,12
events,events,12
prettig,pleasant,12
weer,again/weather,12
feedback,feedback,12
beslissingen,decisions,12
horen,to hear/belong,12
weken,weeks,12
vraag,question/demand,12
motivatiebrief,cover letter,12
waaronder,including,12
bereidheid,willingness,12
applicaties,applications,12
betaald,paid,12
vereisten,requirements,12
meteen,immediately,12
community,community,12
gezonde,healthy,12
analyses,analyses,12
risico,risk,12
inhoud,content,12
daarna,afterwards,12
kilometer,kilometre,12
aantrekkelijk,attractive,12
analyseert,analyses,12
even,just/briefly,12
monteurs,mechanics,12
telefonisch,by phone,12
belang,importance/interest,12
passende,suitable,12
ontvangt,receives,12
stimuleren,to stimulate,12
managers,managers,12
bepalen,to determine,12
pagina,page,12
onbepaalde,indefinite,12
betreft,concerns,12
afgerond,completed,12
positief,positive,12
zichzelf,themselves,12
structuur,structure,12
scherp,sharp,12
breed,broad,12
algemene,general,12
gezamenlijke,joint/shared,12
familiebedrijf,family business,12
landelijke,national/nationwide,12
intelligence,intelligence,12
buitenland,abroad,12
www,www,12
begin,beginning,12
inspirerende,inspiring,12
beweging,movement,12
leraar,teacher,12
krijgsmacht,armed forces,12
uiteenlopende,diverse/varied,11
afgestemd,aligned,11
resultaatgericht,results-oriented,11
doelgroep,target group,11
mocht,if/was allowed,11
toegankelijk,accessible,11
uitmaken,to matter,11
voldoende,sufficient,11
vergelijkbaar,comparable,11
vereiste,required,11
klantgerichtheid,customer focus,11
aanvullende,additional,11
controleren,to check/control,11
logistiek,logistics,11
voorzien,to provide,11
horeca,hospitality industry,11
kaart,card/map,11
catering,catering,11
beoordelen,to assess,11
uniek,unique,11
legt,places/explains,11
let,pay attention,11
totaal,total,11
mondeling,oral/verbal,11
schriftelijk,written,11
geniet,enjoys,11
bepaalt,determines,11
kosten,costs,11
steden,cities,11
combineert,combines,11
multidisciplinair,multidisciplinary,11
openbare,public,11
zichtbaar,visible,11
good,good,11
experience,experience,11
functionele,functional,11
europa,Europe,11
positieve,positive,11
dienstverlening,service provision,11
gelijke,equal,11
projectmanagers,project managers,11
bachelor,bachelor,11
office,office,11
leidinggevende,manager/superior,11
extern,external,11
privé,private,11
adv,ADV (time-off-in-lieu),11
later,later,11
energietransitie,energy transition,11
vertellen,to tell,11
implementeren,to implement,11
tegen,against,11
marktconform,market-conforming,11
euro,euro,11
nooit,never,11
waarmee,with which,11
ervan,of it,11
bezit,possesses,11
adviseren,to advise,11
betere,better,11
leert,learns,11
hoge,high,11
experts,experts,11
richten,to focus,11
verlenging,extension,11
motiveren,to motivate,11
elektrotechniek,electrical engineering,11
personeel,personnel,11
zeker,certain/sure,11
documenten,documents,11
park,park,11
functies,functions/roles,11
wereldwijd,worldwide,11
fiscale,fiscal/tax,11
zaak,case/matter,11
strategische,strategic,11
netwerken,networks,11
maatschappij,society,11
medior,mid-level,11
